time,,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track,vspeed
2022-03-21 06:20:59Z.987,1647843659.987,0x780db8,CES5735,0,0,N,26875,2101,436,98,-21888
2022-03-21 06:21:04Z.116,1647843664.116,0x780db8,CES5735,23.35744,110.89615,P,24925,2101,425,91,-30784
2022-03-21 06:21:09Z.150,1647843669.150,0x780db8,CES5735,23.35661,110.90543,P,22250,2101,386,100,-30976
2022-03-21 06:21:14Z.952,1647843674.952,0x780db8,CES5735,23.35263,110.91592,P,17325,2101,429,123,-30976
2022-03-21 06:21:19Z.828,1647843679.828,0x780db8,CES5735,23.34474,110.92432,P,15325,2101,520,140,-22528
2022-03-21 06:21:30Z.678,1647843690.678,0x780db8,CES5735,23.3231,110.94439,P,12725,2101,551,127,-16832
2022-03-21 06:21:35Z.160,1647843695.160,0x780db8,CES5735,23.31711,110.95592,P,11000,2101,556,112,-21312
2022-03-21 06:21:40Z.820,1647843700.820,0x780db8,CES5735,23.3142,110.96949,P,9150,2101,558,100,-21888
2022-03-21 06:21:45Z.578,1647843705.578,0x780db8,CES5735,23.3149,110.98338,P,7850,2101,590,81,-15744
2022-03-21 06:21:55Z.848,1647843715.848,0x780db8,CES5735,23.30773,111.01476,P,7425,2101,565,75,3520
2022-03-21 06:22:01Z.064,1647843721.064,0x780db8,CES5735,23.3094,111.02875,P,8025,0,531,84,7360
2022-03-21 06:22:05Z.000,1647843725.000,0x780db8,CES5735,23.30974,111.04041,P,8600,0,507,88,8448
2022-03-21 06:22:21Z.870,1647843741.870,0x780db8,CES5735,23.33031,111.07468,P,8175,0,446,79,-13248
2022-03-21 06:22:31Z.888,1647843751.888,0x780db8,CES5735,23.33533,111.09754,P,4375,0,442,73,-26752
2022-03-21 06:22:35Z.972,1647843755.972,0x780db8,CES5735,23.33752,111.10558,P,3225,0,376,87,-30976
